code,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_IMPLOSIVES,P_LONG_VOWELS,P_TONE,P_UVULARS
aba,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
abi,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ach,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
acn,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
adl,1,0,0,0.5,0.5,1,0,0.5
ado,1,0,1,0.5,0.5,0,0,0.5
afz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ags,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ahk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ahl,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
aih,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
alh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
amh,1,1,0,0.5,0.5,0,0.5,0.5
aml,1,0,1,0.5,0.5,1,0,0.5
amt,0,0,1,0.5,0.5,1,0,0.5
amu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
anp,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
anu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
aoa,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
aok,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
aph,1,1,0,0.5,0.5,0,0,0.5
aqr,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ary,1,1,1,0.5,0.5,0,0,0.5
asj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ass,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
atb,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
awa,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
awn,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
azg,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
azm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
azz,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
bar,1,0,1,0.5,0.5,1,0.5,0.5
bbh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bbo,1,0,1,0.5,0.5,1,1,0.5
bbx,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bca,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bco,1,0,0,0.5,0.5,1,1,0.5
bcp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bcq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bds,1,0,1,0.5,0.5,1,1,0.5
bec,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
beh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ben,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bez,0.5,0.5,0.5,0.5,0.5,1,1,0.5
bfs,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bfz,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
bgk,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
bgq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bho,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
bkd,1,0,0,0.5,0.5,1,0,0.5
bkm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
blo,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
blr,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bmj,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
bmq,0,0,0,0.5,0.5,1,1,0.5
bod,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
box,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bpr,1,0,0,0.5,0.5,0,0,0.5
bps,1,0,0,0.5,0.5,0,0,0.5
bpy,1,0,1,0.5,0.5,1,0,0.5
bqc,0,0,1,0.5,0.5,1,1,0.5
bqh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bqp,0,0,1,0.5,0.5,1,1,0.5
bqq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
brd,1,0,0,0.5,0.5,0,0,0.5
bre,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
bsh,1,1,1,0.5,0.5,0,0.5,0.5
buh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
buk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bus,0,0,1,0.5,0.5,1,1,0.5
bwj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bwn,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
bwq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bwx,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bwy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bxd,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bxl,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
byh,1,1,1,0.5,0.5,0,0,0.5
byw,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
bzi,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
bzv,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cae,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
cam,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cbs,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cco,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cdm,1,1,1,0.5,0.5,0,0,0.5
cgc,1,0,1,0.5,0.5,0,0,0.5
chd,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
chq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cjy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cle,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
clk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
clo,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
cly,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cme,1,0,0,0.5,0.5,1,1,0.5
cmn,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cng,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
cnl,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cnt,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cov,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cpa,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cqd,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cri,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
crn,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cso,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cta,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ctl,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ctn,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ctp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ctu,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
cuc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cug,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cuq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cur,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
cut,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cuu,0.5,0.5,0.5,0.5,0.5,1,1,0.5
cuw,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
cux,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
cya,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
czn,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
czo,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dbf,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dhi,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
dhw,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
djk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dmo,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dnn,0,0,1,0.5,0.5,0,1,0.5
doc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dre,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
drq,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
dry,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
dtb,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
duf,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dus,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
duu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
dwr,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
eee,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ekk,1,1,1,0.5,0.5,1,0,0.5
eme,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
emp,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
enc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
eng,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
