code,P_BILABIALS,P_CLICKS,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_FRICATIVES,P_FRONT_ROUND_VOWELS,P_GLOTTALIZED_RESONANTS,P_IMPLOSIVES,P_LABIAL_VELARS,P_LATERALS,P_LATERAL_L,P_LATERAL_OBSTRUENTS,P_NASALS,P_NASAL_VOWELS,P_PHARYNGEALS,P_TH,P_TONE,P_UVULAR_CONTINUANTS,P_UVULAR_STOPS,P_VELAR_NASAL,P_VELAR_NASAL_INITIAL,P_VOICE,P_VOICED_FRICATIVES,P_VOICED_PLOSIVES
aal,1,0,0.5,0.5,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0.5,0.5,1,0,1
abj,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
abk,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1
abq,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
aci,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
acv,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,1,1,0.5,0.5,0,0,0
ady,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
adz,1,0,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0,0,0.5,0.5,1,0,1
aer,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
aey,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
agm,1,0,0.5,0,1,0,0,0,0,0,0,1,0,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
agq,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
agr,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
agu,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
ahg,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ahp,1,0,0.5,0.5,1,0,1,0,0,1,1,1,1,0,1,0.5,0,0,0.5,0,0,0.5,0.5,1,1,1
aht,1,0,0.5,0.5,1,1,1,0,0,0,0,1,0,1,1,0.5,0,0,0,1,1,0.5,0.5,1,1,0
ain,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
aka,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
ake,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0.5,1,1,1
akv,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
akx,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
akz,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,1,1,0.5,0,0,0.5,0,0,0,0,1,0,1
alc,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0
ald,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
ale,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
alh,1,0,0.5,0.5,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
alo,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
alp,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
